Alignment ID,Average Rt(min),Average Mz,C1_DUO,C2_DUO,C3_DUO,C4_DUO,C5_DUO,C6_DUO,N1_DUO,N2_DUO,N3_DUO,N4_DUO,N5_DUO,N6_DUO
10,0.582,70.06529,6083,7395,8179,9546,9274,8059,9026,10418,9759,5602,6420,8301
12,0.472,70.53161,890,1752,1281,669,1377,1252,2240,1828,1975,888,1069,1225
15,0.469,71.02921,2038,3762,2208,1940,3573,2401,4060,4094,4140,1582,2884,3078
19,0.603,72.0808,55220,88162,65561,80710,106905,87522,83542,114274,68143,79236,58664,92396
27,0.585,74.06016,3061,3350,3976,4653,4277,4121,4792,5006,4461,3214,3542,3782
29,17.428,75.0443,815,1364,701,1264,1062,1078,880,1558,1171,1333,1210,1294
50,0.458,79.03883,510,1188,1030,446,1200,978,1094,1281,1313,380,752,1142
62,0.471,79.53676,3483,7487,4481,4408,5902,4858,8649,7324,7040,3259,4637,5012
65,0.472,80.53583,433,1385,1079,870,1217,918,1610,1366,1422,469,780,1080
75,0.475,82.01383,794,1857,1558,988,1716,908,2069,1770,2148,906,1075,1249
76,0.472,82.03951,2918,5437,4066,3208,5789,4191,6523,6019,6188,2187,3455,4333
78,0.47,82.53732,6532,14469,9209,7144,10780,9098,15136,13642,13313,5118,8444,9615
86,17.684,83.08536,2060,2361,2545,2185,2269,3012,2864,2873,1946,2981,2184,3559
87,2.066,83.08549,76,0,0,1766,6294,10379,427,0,0,1483,7498,9830
88,0.47,83.53552,1510,2622,1229,899,1935,1272,2224,2095,2233,855,1323,1478
90,0.592,84.04429,3911,4946,5081,5209,5963,5189,5758,5609,5723,4685,4578,5270
103,18.907,85.10177,1184,1484,946,1124,1217,1160,1490,1735,774,1635,1185,1279
109,0.867,86.09682,618732,592815,793062,980973,789631,659522,737109,904825,764342,600377,669827,723886
123,0.796,87.10009,33086,32127,45207,63603,46696,35865,42027,54861,42496,32501,36487,38880
135,0.476,88.04436,2847,7054,4088,4246,6243,5621,6458,6798,6241,3334,4703,5438
139,0.468,89.04285,691,1578,968,799,1259,1300,1763,1670,1409,718,1433,1320
154,0.581,90.05512,12786,13496,19595,20491,15777,17367,23096,20365,20096,19187,22649,18276
159,0.474,90.54708,1855,4658,3082,2554,4003,2924,4184,4735,4042,1970,2832,3742
173,0.473,91.0448,18346,35690,23277,18894,30811,24624,39522,32692,35989,15606,22573,25862
179,0.452,91.54514,4966,8644,6417,4896,7464,6750,10096,10117,9167,4195,6541,6574
190,17.475,95.08593,2025,2575,1978,2580,2434,2500,2350,3276,2030,2723,2596,2810
216,17.685,97.10105,5026,6357,7108,5521,7876,8652,7115,7252,6469,8042,5881,9337
217,14.722,97.10128,188,268,194,0,433,232,104,205,176,184,531,511
218,19.894,97.10143,872,1186,698,258,1126,886,624,1006,722,608,1508,2160
246,0.726,98.98425,11787,12488,13843,9924,8145,12178,13949,11616,13176,18044,13723,10551
247,0.884,98.9847,11794,12488,13843,2813,8145,12178,13949,11616,13176,18044,13723,10551
262,0.473,99.55254,14256,29127,20105,16704,24884,20575,33103,28200,31897,13774,18814,21887
277,0.788,101.02303,3960,3236,1856,969,2078,2130,1038,1474,3638,948,1582,2210
278,0.582,101.06083,1014,1634,1000,2296,2298,2528,1658,1903,2072,1280,1061,1876
279,2.061,101.09614,1212,1219,1329,7498,25791,41643,2393,1012,1248,6010,26287,40026
283,0.604,102.05533,6477,9406,11992,14331,13697,13473,9963,15072,13025,9752,13006,12802
296,0.693,103.05466,5914,4097,4512,9510,4044,3677,5691,6613,4472,3817,4435,3561
297,1.239,103.05481,19512,14854,19092,31503,16035,14455,20739,27554,16571,14704,14265,15604
306,0.641,104.0536,6007,2079,31102,49285,32899,25512,11850,47277,25264,9859,33013,30495
307,0.587,104.0705,1026,2664,1167,871,843,1829,1870,919,1370,1986,1002,2264
309,0.551,104.10744,162426,115762,251652,288044,137413,187026,228146,204211,163474,200214,234779,158938
311,0.478,105.00369,1039,1472,1057,619,1352,975,1792,1800,1609,372,953,1020
320,0.572,105.11015,9299,6597,14219,16936,7886,10268,13405,12397,9197,11875,12473,9060
323,0.602,106.04952,4542,6335,7530,8009,7820,6662,6092,7564,7304,7066,7824,8026
326,0.539,106.95159,1405,1362,849,511,725,1044,1021,744,585,820,1104,913
341,4.414,107.049,236,270,320,262,458,380,402,352,489,368,406,277
342,1.242,107.04964,6274,4681,5730,10431,5369,4933,6747,8289,4954,4602,5142,4682
360,0.474,108.06023,5466,10468,6723,6574,9932,8003,11577,10290,10196,5030,7373,8668
368,10.132,109.02877,0,412,269,0,806,107,0,86,192,132,531,329
369,0.454,109.0591,1281,2411,1568,1498,2038,1647,2699,2302,2157,1286,1593,1776
371,16.657,109.10129,1146,2577,3192,2142,2721,2743,2024,2494,2159,3324,3466,3564
372,17.654,109.10178,1760,2174,2083,2491,2147,2428,2620,3308,2221,2550,2126,2673
378,0.476,110.00892,2380,6309,3566,2372,6121,4380,6787,7259,6460,1947,3026,5031
380,0.548,110.07155,5830,5728,6208,8589,10228,6777,8133,8280,7238,5958,5116,8388
386,0.952,111.09222,581,184,686,492,166,3545,364,374,291,146,603,1505
387,17.684,111.11681,5594,7397,7854,6372,9264,10338,9027,8973,6398,9741,6951,11264
388,16.552,111.117,342,951,936,796,883,812,784,636,644,1110,1331,1329
390,14.725,111.11711,190,76,180,175,379,138,244,114,253,134,372,447
396,0.61,112.0508,1170,1644,866,768,2091,1453,1882,880,1058,1726,1015,1535
397,0.551,112.08738,1502,1838,1481,1396,1618,1156,2242,1551,1593,728,928,1236
402,0.617,113.02081,5459,4110,3745,1959,2958,2953,2053,2099,4388,4336,3678,2758
403,0.701,113.0349,4491,3900,3803,3376,5107,6052,8286,4718,4980,5749,4618,5625
406,18.922,113.13268,547,1217,565,896,1006,890,1282,1450,392,1566,1003,1141
416,0.577,114.06732,4992,11321,5833,3839,9664,5807,4011,4568,6837,4768,5577,4634
427,0.54,115.0876,2742,2031,2528,5056,2892,3471,5046,4636,2915,2496,1622,3137
442,0.576,116.07045,48120,84382,94970,116174,120600,79311,83994,114384,130765,75985,79226,95694
443,3.641,116.07051,5008,6755,4891,6848,6200,3756,3513,6899,6463,3140,3923,5525
449,0.558,117.07382,2982,5054,5994,6578,7748,5085,4743,7609,7596,4286,5034,5894
457,2.422,118.06512,2595,1861,2803,4719,2084,1797,2134,3430,2770,1594,1627,2040
460,0.596,118.08608,121182,240216,160675,176041,242991,212322,196984,251060,159386,225306,189883,270834
466,0.742,119.0496,7160,4785,5913,8374,4888,4509,7506,7782,5588,4437,4209,4690
469,2.083,119.1068,1348,892,1104,5688,19782,34028,1556,1104,1086,3693,20014,33044
473,6.256,120.06535,5078,2399,769,1160,739,710,1214,1045,728,403,442,804
474,6.193,120.06542,5078,2399,769,1160,739,710,1214,1045,728,403,442,804
476,0.577,120.06609,10179,13624,15268,19346,17797,14309,15100,18958,17758,12711,14468,16201
